

##########################
Quicklogic Open Platform 2.0
SW Version: OP2-QuickFeather-bootloader
May 14 2020 16:40:02
##########################

User button not pressed: proceeding to load application
ram init content size: 0x00001008, 4104
ram_block: [0], start:[0x40018000], size: [0x00000400, 1024]
addr: 0x40018360, read: 0x00030d86, write: 0x000198dd
addr: 0x40018364, read: 0x00030d86, write: 0x000198dd
addr: 0x40018368, read: 0x00030d86, write: 0x000198dd
addr: 0x4001836c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018370, read: 0x00030d86, write: 0x000198dd
addr: 0x40018374, read: 0x00030d86, write: 0x000198dd
addr: 0x40018378, read: 0x00030d86, write: 0x000198dd
addr: 0x4001837c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018380, read: 0x00030d86, write: 0x000198dd
addr: 0x40018384, read: 0x00030d86, write: 0x000198dd
addr: 0x40018388, read: 0x00030d86, write: 0x000198dd
addr: 0x4001838c, read: 0x00030d86, write: 0x000198dd
addr: 0x40018390, read: 0x00030d86, write: 0x000198dd
addr: 0x40018394, read: 0x00030d86, write: 0x000198dd
addr: 0x40018398, read: 0x00030d86, write: 0x000198dd
addr: 0x4001839c, read: 0x00030d86, write: 0x000198dd
addr: 0x400183a0, read: 0x00030d86, write: 0x000198dd
addr: 0x400183a4, read: 0x00030d86, write: 0x000198dd
addr: 0x400183a8, read: 0x00030d86, write: 0x000198dd
addr: 0x400183ac, read: 0x00030d86, write: 0x000198dd
addr: 0x400183b0, read: 0x00030d86, write: 0x000198dd
addr: 0x400183b4, read: 0x00030d86, write: 0x000198dd
addr: 0x400183b8, read: 0x00030d86, write: 0x000198dd
addr: 0x400183bc, read: 0x00030d86, write: 0x000198dd
addr: 0x400183c0, read: 0x00030d86, write: 0x000198dd
addr: 0x400183c4, read: 0x00030d86, write: 0x000198dd
addr: 0x400183c8, read: 0x00030d86, write: 0x000198dd
addr: 0x400183cc, read: 0x00030d86, write: 0x000198dd
addr: 0x400183d0, read: 0x00030d86, write: 0x000198dd
addr: 0x400183d4, read: 0x00030d86, write: 0x000198dd
addr: 0x400183d8, read: 0x00030d86, write: 0x000198dd
addr: 0x400183dc, read: 0x00030d86, write: 0x000198dd
addr: 0x400183e0, read: 0x00030d86, write: 0x000198dd
addr: 0x400183e4, read: 0x00030d86, write: 0x000198dd
addr: 0x400183e8, read: 0x00030d86, write: 0x000198dd
addr: 0x400183ec, read: 0x00030d86, write: 0x000198dd
addr: 0x400183f0, read: 0x00030d86, write: 0x000198dd
addr: 0x400183f4, read: 0x00030d86, write: 0x000198dd
addr: 0x400183f8, read: 0x00030d86, write: 0x000198dd
addr: 0x400183fc, read: 0x00030d86, write: 0x000198dd
addr: 0x40018400, read: 0x00030d86, write: 0x00000000
addr: 0x40018404, read: 0x00030d86, write: 0x00000000
addr: 0x40018408, read: 0x00030d86, write: 0x00000000
addr: 0x4001840c, read: 0x00030d86, write: 0x00000000
addr: 0x40018410, read: 0x00030d86, write: 0x00000000
addr: 0x40018414, read: 0x00030d86, write: 0x00000000
addr: 0x40018418, read: 0x00030d86, write: 0x00000000
addr: 0x4001841c, read: 0x00030d86, write: 0x00000000
addr: 0x40018420, read: 0x00030d86, write: 0x00000000
addr: 0x40018424, read: 0x00030d86, write: 0x00000000
addr: 0x40018428, read: 0x00030d86, write: 0x00000000
addr: 0x4001842c, read: 0x00030d86, write: 0x00000000
addr: 0x40018430, read: 0x00030d86, write: 0x00000000
addr: 0x40018434, read: 0x00030d86, write: 0x00000000
addr: 0x40018438, read: 0x00030d86, write: 0x00000000
addr: 0x4001843c, read: 0x00030d86, write: 0x00000000
addr: 0x40018440, read: 0x00030d86, write: 0x00000000
addr: 0x40018444, read: 0x00030d86, write: 0x00000000
addr: 0x40018448, read: 0x00030d86, write: 0x00000000
addr: 0x4001844c, read: 0x00030d86, write: 0x00000000
addr: 0x40018450, read: 0x00030d86, write: 0x00000000
addr: 0x40018454, read: 0x00030d86, write: 0x00000000
addr: 0x40018458, read: 0x00030d86, write: 0x00000000
addr: 0x4001845c, read: 0x00030d86, write: 0x00000000
addr: 0x40018460, read: 0x00030d86, write: 0x00000000
addr: 0x40018464, read: 0x00030d86, write: 0x00000000
addr: 0x40018468, read: 0x00030d86, write: 0x00000000
addr: 0x4001846c, read: 0x00030d86, write: 0x00000000
addr: 0x40018470, read: 0x00030d86, write: 0x00000000
addr: 0x40018474, read: 0x00030d86, write: 0x00000000
addr: 0x40018478, read: 0x00030d86, write: 0x00000000
addr: 0x4001847c, read: 0x00030d86, write: 0x00000000
addr: 0x40018480, read: 0x00030d86, write: 0x00000000
addr: 0x40018484, read: 0x00030d86, write: 0x00000000
addr: 0x40018488, read: 0x00030d86, write: 0x00000000
addr: 0x4001848c, read: 0x00030d86, write: 0x00000000
addr: 0x40018490, read: 0x00030d86, write: 0x00000000
addr: 0x40018494, read: 0x00030d86, write: 0x00000000
addr: 0x40018498, read: 0x00030d86, write: 0x00000000
addr: 0x4001849c, read: 0x00030d86, write: 0x00000000
addr: 0x400184a0, read: 0x00030d86, write: 0x00000000
addr: 0x400184a4, read: 0x00030d86, write: 0x00000000
addr: 0x400184a8, read: 0x00030d86, write: 0x00000000
addr: 0x400184ac, read: 0x00030d86, write: 0x00000000
addr: 0x400184b0, read: 0x00030d86, write: 0x00000000
addr: 0x400184b4, read: 0x00030d86, write: 0x00000000
addr: 0x400184b8, read: 0x00030d86, write: 0x00000000
addr: 0x400184bc, read: 0x00030d86, write: 0x00000000
addr: 0x400184c0, read: 0x00030d86, write: 0x00000000
addr: 0x400184c4, read: 0x00030d86, write: 0x00000000
addr: 0x400184c8, read: 0x00030d86, write: 0x00000000
addr: 0x400184cc, read: 0x00030d86, write: 0x00000000
addr: 0x400184d0, read: 0x00030d86, write: 0x00000000
